mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__reg_lambda,param_classifier__scale_pos_weight,param_classifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1470961093902588,0.008092230811044869,0.01648430824279785,0.0040216669765443785,0.8123620356542087,0.1785436060870726,4,8,100,0.18410729205738682,1.0,0.7299924747454009,"{'classifier__colsample_bytree': np.float64(0.8123620356542087), 'classifier__learning_rate': np.float64(0.1785436060870726), 'classifier__max_depth': 4, 'classifier__min_child_weight': 8, 'classifier__n_estimators': 100, 'classifier__reg_lambda': np.float64(0.18410729205738682), 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': np.float64(0.7299924747454009)}",0.9584726867335562,0.9623503465658475,0.9572488003489894,0.9628835247927876,0.9662114343256241,0.961433358553361,0.0032264519898136906,18
0.3421622753143311,0.06576548819477164,0.016633987426757812,0.0010050125532812908,0.8377746675897602,0.04312594322370855,5,8,210,0.10838581269344748,2.768561872909699,0.9165996316800473,"{'classifier__colsample_bytree': np.float64(0.8377746675897602), 'classifier__learning_rate': np.float64(0.04312594322370855), 'classifier__max_depth': 5, 'classifier__min_child_weight': 8, 'classifier__n_estimators': 210, 'classifier__reg_lambda': np.float64(0.10838581269344748), 'classifier__scale_pos_weight': 2.768561872909699, 'classifier__subsample': np.float64(0.9165996316800473)}",0.9622008950931445,0.9623463073368556,0.9596198277672757,0.9642164703601376,0.9673478301310697,0.9631462661376966,0.0025599962946628338,9
0.41756453514099123,0.06122768153275584,0.020305633544921875,0.0028715316498857542,0.981565812704725,0.02003589566630942,5,5,240,0.32877474139911184,2.768561872909699,0.7021198915659151,"{'classifier__colsample_bytree': np.float64(0.981565812704725), 'classifier__learning_rate': np.float64(0.02003589566630942), 'classifier__max_depth': 5, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 240, 'classifier__reg_lambda': np.float64(0.32877474139911184), 'classifier__scale_pos_weight': 2.768561872909699, 'classifier__subsample': np.float64(0.7021198915659151)}",0.9609487341056339,0.9602135944290954,0.9585777066873474,0.9627987009839563,0.9663004048157301,0.9617678282043526,0.002640847685486599,16
0.1513361930847168,0.012962651735794885,0.01665153503417969,0.003112432126443132,0.7069187275124247,0.06695833655111026,4,2,94,0.5954553793888989,1.0,0.8855158027999261,"{'classifier__colsample_bytree': np.float64(0.7069187275124247), 'classifier__learning_rate': np.float64(0.06695833655111026), 'classifier__max_depth': 4, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 94, 'classifier__reg_lambda': np.float64(0.5954553793888989), 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': np.float64(0.8855158027999261)}",0.9610214402274895,0.9630733685554101,0.9591270418302553,0.9643618826038485,0.9678371678266532,0.9630841802087312,0.0029711065943542146,10
0.13130388259887696,0.010525538878162545,0.01567540168762207,0.0018456891823092506,0.8147385973801488,0.19242472805818778,2,3,130,1.4316013583282223,1.0,0.7195154778955838,"{'classifier__colsample_bytree': np.float64(0.8147385973801488), 'classifier__learning_rate': np.float64(0.19242472805818778), 'classifier__max_depth': 2, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 130, 'classifier__reg_lambda': np.float64(1.4316013583282223), 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': np.float64(0.7195154778955838)}",0.9617000306981404,0.9646607855492544,0.9601570452232078,0.9656948281711987,0.9703647385683031,0.9645154856420209,0.003536905712205385,1
0.11817789077758789,0.0022552628125145366,0.01563854217529297,0.0023390408580522206,0.9846656611759999,0.184783006392545,3,2,88,0.10644522482871864,2.768561872909699,0.905269907953647,"{'classifier__colsample_bytree': np.float64(0.9846656611759999), 'classifier__learning_rate': np.float64(0.184783006392545), 'classifier__max_depth': 3, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 88, 'classifier__reg_lambda': np.float64(0.10644522482871864), 'classifier__scale_pos_weight': 2.768561872909699, 'classifier__subsample': np.float64(0.905269907953647)}",0.9607225372820836,0.9628552501898436,0.9601853198261515,0.9611870486161602,0.9677765061288536,0.9625453324086184,0.0027639972447878604,14
0.14838800430297852,0.02756861764490715,0.02007780075073242,0.006414274501812697,0.8320457481218804,0.0264891626801987,2,8,114,3.5067764992972172,2.768561872909699,0.7546708263364187,"{'classifier__colsample_bytree': np.float64(0.8320457481218804), 'classifier__learning_rate': np.float64(0.0264891626801987), 'classifier__max_depth': 2, 'classifier__min_child_weight': 8, 'classifier__n_estimators': 114, 'classifier__reg_lambda': np.float64(3.5067764992972172), 'classifier__scale_pos_weight': 2.768561872909699, 'classifier__subsample': np.float64(0.7546708263364187)}",0.9531449436931478,0.9462338228878872,0.9459147237975215,0.9522300583264666,0.953773764220113,0.9502594625850271,0.0034537543307743444,30
0.12725248336791992,0.01833754443044858,0.01644868850708008,0.0031947513240625663,0.9266084230952957,0.05323360406829592,3,2,83,0.20609249413202357,1.0,0.9526854323784995,"{'classifier__colsample_bytree': np.float64(0.9266084230952957), 'classifier__learning_rate': np.float64(0.05323360406829592), 'classifier__max_depth': 3, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 83, 'classifier__reg_lambda': np.float64(0.20609249413202357), 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': np.float64(0.9526854323784995)}",0.9586948443281147,0.9569781720065274,0.9554876965084904,0.9597935146139304,0.9606386463544342,0.9583185747622995,0.001871379693183015,24
0.2657136917114258,0.01613351042321622,0.01626906394958496,0.0018092553289844337,0.8349262400109296,0.04967984494099453,5,6,174,3.683296438423418,2.768561872909699,0.8711331923216198,"{'classifier__colsample_bytree': np.float64(0.8349262400109296), 'classifier__learning_rate': np.float64(0.04967984494099453), 'classifier__max_depth': 5, 'classifier__min_child_weight': 6, 'classifier__n_estimators': 174, 'classifier__reg_lambda': np.float64(3.683296438423418), 'classifier__scale_pos_weight': 2.768561872909699, 'classifier__subsample': np.float64(0.8711331923216198)}",0.9615182653935016,0.9616636776372127,0.9592199440970707,0.9637358021100932,0.9678493001662131,0.9627973978808184,0.002902481568741419,11
0.15249180793762207,0.013739614638251251,0.02076559066772461,0.008399029483535814,0.856250278007747,0.18289507881740552,2,8,161,0.8258872175835609,2.768561872909699,0.8070259980080767,"{'classifier__colsample_bytree': np.float64(0.856250278007747), 'classifier__learning_rate': np.float64(0.18289507881740552), 'classifier__max_depth': 2, 'classifier__min_child_weight': 8, 'classifier__n_estimators': 161, 'classifier__reg_lambda': np.float64(0.8258872175835609), 'classifier__scale_pos_weight': 2.768561872909699, 'classifier__subsample': np.float64(0.8070259980080767)}",0.9624997980385505,0.9642003134441698,0.9609850871665617,0.9636025075533583,0.9696853275529477,0.9641946067511176,0.002955402560932216,2
0.10437908172607421,0.00190559659955896,0.014719724655151367,0.0015387058767861149,0.7842803529062142,0.06977921490278444,2,5,94,0.19089017327597843,1.0,0.9960660809801551,"{'classifier__colsample_bytree': np.float64(0.7842803529062142), 'classifier__learning_rate': np.float64(0.06977921490278444), 'classifier__max_depth': 2, 'classifier__min_child_weight': 5, 'classifier__n_estimators': 94, 'classifier__reg_lambda': np.float64(0.19089017327597843), 'classifier__scale_pos_weight': 1.0, 'classifier__subsample': np.float64(0.9960660809801551)}",0.9596157885382838,0.9587473543050102,0.9568408382208005,0.9611951270741442,0.9638739369037461,0.960054609008397,0.0023714066698992745,21
